n_back,sample_count,heart_rate_mean,heart_rate_median,tepr_mean,tepr_median
0,104,65.46153846153847,66.0,-0.5303624797673077,-0.4912534165
1,103,66.00970873786407,66.0,-0.6062713718907573,-0.6409574
2,103,68.60194174757281,68.0,-0.48163866575728154,-0.536053956
3,103,67.2135922330097,66.0,-0.3223488080318447,-0.29250899999999996
