block_id,n_back,sample_count,heart_rate_mean,heart_rate_median,tepr_mean,tepr_median
1,2,34,65.8529411764706,66.0,-0.6623231079117646,-0.6226826010000001
10,2,35,69.02857142857142,69.0,-0.6616097465342857,-0.7097882999999999
11,0,35,66.0,66.0,-0.6390975145714286,-0.7000651999999999
12,3,34,67.76470588235294,68.0,-0.3592340936676471,-0.3586450855
2,3,34,64.1470588235294,64.0,-0.5439329750294117,-0.6661279225
3,1,34,66.11764705882354,66.0,-0.7973614985882352,-0.7806663755000001
4,0,35,63.885714285714286,63.0,-0.8000942424857143,-0.889959335
5,0,34,66.52941176470588,67.0,-0.14076430584705885,-0.168411523
6,1,35,66.97142857142858,66.0,-0.13560308373565713,-0.1625467
7,3,35,69.65714285714286,70.0,-0.07126419690228572,-0.09926424
8,2,34,70.91176470588235,70.0,-0.11568987574411765,-0.142840631
9,1,34,64.91176470588235,65.0,-0.8996927182941177,-0.876776579
