block_id,n_back,sample_count,heart_rate_mean,heart_rate_median,tepr_mean,tepr_median
1.0,1,34,79.29411764705883,79.0,0.10678976537441176,0.107328959
10.0,1,34,83.0,83.0,-0.21644915652058824,-0.2228810115
11.0,0,35,81.42857142857143,82.0,-0.023669166408857148,-0.0672585
12.0,2,34,86.1470588235294,85.5,-0.03261792672352941,0.028180445
2.0,2,35,83.57142857142857,83.0,-0.107231000202,-0.09821645
3.0,3,35,82.4,83.0,0.4776708010371428,0.509463251
4.0,0,35,80.25714285714285,80.0,-0.08813651584942857,-0.05786108
5.0,2,34,83.41176470588235,85.5,-0.11153616416794118,-0.121795468
6.0,0,34,85.26470588235294,86.0,0.13021737945294118,0.110209316
7.0,1,35,85.48571428571428,85.0,0.12236490979714286,0.058609023700000006
8.0,3,35,83.45714285714286,83.0,0.11085904637428572,0.06797538
9.0,3,34,85.91176470588235,86.0,-0.08264723365882354,-0.10467167
