n_back,sample_count,heart_rate_mean,heart_rate_median,tepr_mean,tepr_median
0,104,82.28846153846153,82.5,0.004944154061153843,-0.031628049899999996
1,103,82.62135922330097,83.0,0.005382063533300968,0.0125324354
2,103,84.36893203883496,85.0,-0.084022564052233,-0.0673183054
3,104,83.90384615384616,84.0,0.1710436414903846,0.10855732500000001
