executed_at,engine,user_id,trials,use_critiques,accepted_count,acceptance_rate,mean_U_AA,std_U_AA,mean_U_PA,std_U_PA,mean_predicted_load,std_predicted_load,mean_steps,state_unchanged,L_current,mean_agreement_tempo,mean_agreement_complexity,mean_agreement_stimulus,mean_agreement_text,mean_agreement_guidance,mean_agreement_break_policy
2026-07-22T19:58:01,negmas,PA01,100,True,100,1.0,0.82625,0.1171203974549267,0.8595833333333333,0.0561047507396259,0.50075,0.04190092481079625,11.54,True,0.75,0.1125,0.125,0.1125,0.1575,0.83,0.835
2026-07-22T20:00:03,negmas,PA02,100,True,100,1.0,0.31124999999999986,0.09099278817576709,0.3787500000000001,0.037312028891498254,0.63775,0.018198557635153413,24.6,True,0.75,0.48,0.45,0.4725,0.3775,0.6125,0.895
2026-07-22T20:01:07,negmas,PA03,100,True,100,1.0,0.6825,0.09908960591303194,0.8391666666666667,0.06319612329882267,0.5635,0.019817921182606384,12.66,True,0.75,0.835,0.0675,0.055,0.075,0.7275,0.835
2026-07-22T20:02:11,negmas,PA04,100,True,100,1.0,0.68,0.12414709017935127,0.8325,0.07095088285411096,0.5635,0.02608160271148993,13.03,True,0.75,0.06,0.82,0.0875,0.08,0.7025,0.855
2026-07-22T20:03:15,negmas,PA05,100,True,100,1.0,0.67875,0.1107573361001427,0.8383333333333333,0.053450392369415234,0.56325,0.024863376681376143,12.8,True,0.75,0.0575,0.0625,0.755,0.0625,0.66,0.8225
2026-07-22T20:04:20,negmas,PA06,100,True,100,1.0,0.675,0.10606601717798204,0.8329166666666667,0.0608090705039598,0.565,0.021213203435596406,13.06,True,0.75,0.05,0.08,0.0875,0.7575,0.68,0.8225
