executed_at,engine,user_id,trials,accepted_count,acceptance_rate,mean_U_AA,std_U_AA,mean_U_PA,std_U_PA,mean_steps,state_unchanged,L_current
2026-06-14T10:03:19,negmas,01,100,100,1.0,0.8474999999999998,0.12818443743294272,0.88845,0.05547947818788493,10.86,True,0.75
2026-06-14T10:04:16,negmas,02,100,100,1.0,0.83125,0.16141464462681196,0.9069625000000001,0.06884408448625053,9.53,True,0.75
2026-06-14T10:06:15,negmas,03,100,13,0.13,0.2062499999999999,0.20107134927681766,0.4135875,0.0824067000840951,20.0,True,0.75
2026-06-14T10:07:47,negmas,04,100,100,1.0,0.50125,0.20424785800590425,0.781375,0.08069028364679354,15.24,True,0.75
2026-06-14T10:09:40,negmas,05,100,90,0.9,0.2799999999999999,0.17421251390184353,0.616,0.0838354042156415,18.93,True,0.75
2026-06-14T10:11:10,negmas,06,100,100,1.0,0.61125,0.20683251074238787,0.8091375000000001,0.0625776255441991,14.34,True,0.75
