executed_at,engine,user_id,trials,accepted_count,acceptance_rate,mean_U_AA,std_U_AA,mean_U_PA,std_U_PA,mean_predicted_load,std_predicted_load,mean_steps,state_unchanged,L_current
2026-07-21T17:42:28,negmas,01,100,100,1.0,0.93125,0.07979465834252318,0.9366086734693877,0.034028687990604815,0.49574999999999997,0.020632195714465302,17.21,True,0.75
2026-07-21T17:49:04,negmas,02,100,100,1.0,0.3387499999999999,0.10795687796523212,0.45524948979591834,0.024237719354650206,0.63225,0.02159137559304642,74.58,True,0.75
2026-07-21T17:52:59,negmas,03,100,100,1.0,0.6300000000000001,0.1059481005020854,0.7491214285714285,0.02446484441063647,0.574,0.021189620100417073,49.2,True,0.75
2026-07-21T17:58:19,negmas,04,100,100,1.0,0.44125,0.08918905482176613,0.5666392857142857,0.029173827773137567,0.61175,0.01783781096435323,66.55,True,0.75
2026-07-21T18:02:33,negmas,05,100,100,1.0,0.545,0.08200609733428363,0.7111234693877552,0.027528193472512147,0.591,0.016401219466856718,53.19,True,0.75
